# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.01          	U             	(6.281192e-01 -9.992624e-01 -1.960187e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.796057e+00 9.008671e-01 8.219685e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.01          	p             	-3.585047e+00	(1.884477e-01 4.815434e-02 -1.025000e-02)	0	2.535771e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.02          	U             	(5.631509e-01 -9.812875e-01 -1.881085e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.697174e+00 9.213395e-01 8.080041e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.02          	p             	-3.003811e+00	(1.884477e-01 4.815434e-02 -1.025000e-02)	0	2.339170e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.03          	U             	(5.714743e-01 -9.779540e-01 -1.909477e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.664710e+00 9.576109e-01 8.131402e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.03          	p             	-2.845365e+00	(1.884477e-01 4.815434e-02 -1.025000e-02)	0	2.403461e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.04          	U             	(5.794372e-01 -9.458954e-01 -1.933370e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.596703e+00 9.314852e-01 6.949099e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.04          	p             	-2.341964e+00	(1.884477e-01 4.815434e-02 -1.025000e-02)	0	2.308280e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.05          	U             	(5.657146e-01 -9.501707e-01 -1.862343e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.521666e+00 9.216074e-01 6.347213e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.05          	p             	-2.618881e+00	(1.864447e-01 3.661528e-02 -1.025000e-02)	0	2.301290e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.06          	U             	(5.575032e-01 -9.344216e-01 -1.877966e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.528032e+00 8.982505e-01 6.172482e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.06          	p             	-2.294910e+00	(2.046436e-01 3.711442e-02 -1.025000e-02)	1	2.288337e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.07          	U             	(5.660550e-01 -9.307868e-01 -1.899756e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.539477e+00 9.433828e-01 6.898124e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.07          	p             	-2.195245e+00	(1.884477e-01 4.815434e-02 -1.025000e-02)	0	2.279738e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.08          	U             	(5.668768e-01 -9.330430e-01 -1.888035e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.526966e+00 8.816802e-01 6.408644e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.08          	p             	-2.246617e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.273777e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
0.09          	U             	(5.610882e-01 -9.291076e-01 -1.868059e-18)	(1.821076e-01 4.040377e-02 -1.025000e-02)	0	(2.495438e+00 8.983951e-01 6.121893e-21)	(1.862089e-01 4.969576e-02 -1.025000e-02)	0
0.09          	p             	-2.222846e+00	(1.885709e-01 3.639201e-02 -1.025000e-02)	0	2.266838e+00	(1.822548e-01 4.267805e-02 -1.025000e-02)	0
