# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.0001        	smoothSolver	1.000000e+00	4.997630e-07	1	0.000000e+00	0.000000e+00	0	false	DICPCG	1.000000e+00	4.625690e-02	110	true
0.0002        	smoothSolver	9.072780e-01	4.832060e-07	3	3.230620e-01	2.229380e-07	3	false	DICPCG	5.012700e-03	2.297900e-04	109	true
0.0003        	smoothSolver	1.428860e-02	4.781110e-07	2	2.487120e-02	1.215210e-06	2	false	DICPCG	4.245050e-01	2.040620e-02	2	true
0.0004        	smoothSolver	4.644130e-03	1.918090e-07	2	1.087850e-02	6.069050e-07	2	false	DICPCG	2.082780e-01	9.041100e-03	4	true
0.0005        	smoothSolver	3.800930e-03	1.475660e-07	2	8.273780e-03	5.513710e-07	2	false	DICPCG	1.321950e-01	5.079660e-03	4	true
0.0006        	smoothSolver	3.227480e-03	9.223540e-06	1	6.595760e-03	4.688470e-07	2	false	DICPCG	1.144840e-01	5.684150e-03	3	true
0.0007        	smoothSolver	2.845110e-03	8.322950e-06	1	5.609630e-03	4.344850e-07	2	false	DICPCG	9.288410e-02	3.894050e-03	4	true
0.0008        	smoothSolver	2.568890e-03	7.430580e-06	1	4.924660e-03	4.130790e-07	2	false	DICPCG	7.672440e-02	2.924300e-03	4	true
0.0009        	smoothSolver	2.322940e-03	6.675720e-06	1	4.411300e-03	3.638280e-07	2	false	DICPCG	6.928640e-02	2.233090e-03	4	true
0.001         	smoothSolver	2.132270e-03	5.950660e-06	1	4.082550e-03	3.261840e-07	2	false	DICPCG	5.844190e-02	2.856620e-03	3	true
0.0011        	smoothSolver	1.988130e-03	5.438250e-06	1	3.834780e-03	3.077300e-07	2	false	DICPCG	5.258080e-02	2.553840e-03	3	true
0.0012        	smoothSolver	1.895790e-03	5.342650e-06	1	3.641270e-03	2.956330e-07	2	false	DICPCG	5.029120e-02	2.420940e-03	3	true
0.0013        	smoothSolver	1.809530e-03	5.185470e-06	1	3.517890e-03	2.977920e-07	2	false	DICPCG	4.415360e-02	1.980640e-03	3	true
0.0014        	smoothSolver	1.737560e-03	4.836000e-06	1	3.360110e-03	2.734760e-07	2	false	DICPCG	3.880050e-02	1.476940e-03	4	true
0.0015        	smoothSolver	1.680330e-03	4.711530e-06	1	3.179210e-03	2.459830e-07	2	false	DICPCG	4.153670e-02	2.028300e-03	3	true
0.0016        	smoothSolver	1.618260e-03	4.601570e-06	1	3.085630e-03	2.408150e-07	2	false	DICPCG	3.915810e-02	1.408040e-03	3	true
0.0017        	smoothSolver	1.567500e-03	4.759010e-06	1	2.985360e-03	2.309130e-07	2	false	DICPCG	4.008280e-02	1.423300e-03	3	true
0.0018        	smoothSolver	1.551090e-03	4.773980e-06	1	2.894220e-03	2.120330e-07	2	false	DICPCG	3.559720e-02	1.006400e-03	3	true
0.0019        	smoothSolver	1.532790e-03	4.684540e-06	1	2.795910e-03	1.989530e-07	2	false	DICPCG	3.469200e-02	1.177770e-03	3	true
0.002         	smoothSolver	1.500800e-03	4.550890e-06	1	2.705740e-03	1.712020e-07	2	false	DICPCG	3.470620e-02	1.250490e-03	3	true
0.0021        	smoothSolver	1.476660e-03	4.344790e-06	1	2.588920e-03	1.617210e-07	2	false	DICPCG	3.120890e-02	9.284450e-04	3	true
0.0022        	smoothSolver	1.453440e-03	4.262350e-06	1	2.566950e-03	1.695430e-07	2	false	DICPCG	3.597330e-02	1.189380e-03	3	true
0.0023        	smoothSolver	1.428910e-03	4.122210e-06	1	2.466840e-03	1.700630e-07	2	false	DICPCG	3.422050e-02	1.139260e-03	3	true
0.0024        	smoothSolver	1.394820e-03	3.960660e-06	1	2.428070e-03	1.807870e-07	2	false	DICPCG	3.491830e-02	1.363250e-03	3	true
0.0025        	smoothSolver	1.361840e-03	3.938140e-06	1	2.376310e-03	1.832770e-07	2	false	DICPCG	2.875230e-02	8.845840e-04	3	true
0.0026        	smoothSolver	1.340600e-03	3.832180e-06	1	2.343920e-03	1.745740e-07	2	false	DICPCG	3.083560e-02	1.379590e-03	2	true
0.0027        	smoothSolver	1.321920e-03	3.670090e-06	1	2.273010e-03	9.559550e-06	1	false	DICPCG	2.706390e-02	6.905290e-04	3	true
0.0028        	smoothSolver	1.297060e-03	3.412240e-06	1	2.222490e-03	9.318880e-06	1	false	DICPCG	2.736020e-02	1.311040e-03	2	true
0.0029        	smoothSolver	1.274960e-03	3.229140e-06	1	2.211210e-03	9.250720e-06	1	false	DICPCG	2.847860e-02	9.002770e-04	3	true
0.003         	smoothSolver	1.256900e-03	3.189360e-06	1	2.201170e-03	9.968850e-06	1	false	DICPCG	3.207190e-02	9.300630e-04	3	true
0.0031        	smoothSolver	1.245950e-03	3.214730e-06	1	2.154540e-03	9.800390e-06	1	false	DICPCG	2.583870e-02	6.914140e-04	3	true
0.0032        	smoothSolver	1.232960e-03	3.170530e-06	1	2.166720e-03	9.973670e-06	1	false	DICPCG	3.892630e-02	1.387470e-03	3	true
0.0033        	smoothSolver	1.220440e-03	3.187570e-06	1	2.128870e-03	9.684010e-06	1	false	DICPCG	2.995140e-02	8.075240e-04	3	true
0.0034        	smoothSolver	1.210250e-03	3.214710e-06	1	2.087070e-03	9.877600e-06	1	false	DICPCG	2.768580e-02	7.968850e-04	3	true
0.0035        	smoothSolver	1.198220e-03	3.193400e-06	1	2.124680e-03	1.890070e-07	2	false	DICPCG	3.365310e-02	1.538920e-03	2	true
0.0036        	smoothSolver	1.192420e-03	3.302490e-06	1	2.147000e-03	2.097600e-07	2	false	DICPCG	3.807080e-02	1.846840e-03	2	true
0.0037        	smoothSolver	1.187400e-03	3.326450e-06	1	2.099410e-03	1.848610e-07	2	false	DICPCG	3.354260e-02	1.666660e-03	2	true
0.0038        	smoothSolver	1.178460e-03	3.387020e-06	1	2.099760e-03	1.965270e-07	2	false	DICPCG	3.251320e-02	1.583130e-03	2	true
0.0039        	smoothSolver	1.173150e-03	3.367280e-06	1	2.075020e-03	1.904970e-07	2	false	DICPCG	3.300930e-02	1.277070e-03	3	true
0.004         	smoothSolver	1.164720e-03	3.305850e-06	1	2.066700e-03	2.126060e-07	2	false	DICPCG	3.380670e-02	1.190240e-03	3	true
0.0041        	smoothSolver	1.156160e-03	3.326530e-06	1	2.011140e-03	1.845720e-07	2	false	DICPCG	2.668670e-02	7.446420e-04	3	true
0.0042        	smoothSolver	1.146790e-03	3.321930e-06	1	1.982870e-03	9.615190e-06	1	false	DICPCG	2.747010e-02	7.611110e-04	3	true
0.0043        	smoothSolver	1.138130e-03	3.250580e-06	1	1.983340e-03	2.067450e-07	2	false	DICPCG	2.567240e-02	7.659930e-04	3	true
0.0044        	smoothSolver	1.136290e-03	3.138780e-06	1	1.982780e-03	9.913880e-06	1	false	DICPCG	3.952330e-02	1.282840e-03	3	true
0.0045        	smoothSolver	1.137500e-03	3.118660e-06	1	1.958920e-03	9.860900e-06	1	false	DICPCG	3.039090e-02	1.395050e-03	2	true
0.0046        	smoothSolver	1.128420e-03	2.917980e-06	1	1.933140e-03	8.707130e-06	1	false	DICPCG	2.751980e-02	6.116280e-04	3	true
0.0047        	smoothSolver	1.136660e-03	2.897300e-06	1	1.980950e-03	8.938930e-06	1	false	DICPCG	3.527000e-02	9.404570e-04	3	true
0.0048        	smoothSolver	1.133150e-03	2.902200e-06	1	1.970190e-03	9.028870e-06	1	false	DICPCG	3.253300e-02	9.893940e-04	3	true
0.0049        	smoothSolver	1.127610e-03	2.898590e-06	1	1.947230e-03	9.113220e-06	1	false	DICPCG	3.070410e-02	1.196900e-03	2	true
0.005         	smoothSolver	1.128280e-03	3.164410e-06	1	1.926040e-03	9.098470e-06	1	false	DICPCG	3.029470e-02	1.409830e-03	2	true
0.0051        	smoothSolver	1.122710e-03	3.175810e-06	1	1.903750e-03	9.431970e-06	1	false	DICPCG	3.133600e-02	1.330840e-03	2	true
0.0052        	smoothSolver	1.117000e-03	3.062740e-06	1	1.944200e-03	2.086310e-07	2	false	DICPCG	3.509410e-02	9.801450e-04	3	true
0.0053        	smoothSolver	1.111510e-03	3.329600e-06	1	1.868660e-03	9.518400e-06	1	false	DICPCG	3.050240e-02	1.002290e-03	3	true
0.0054        	smoothSolver	1.106590e-03	3.241220e-06	1	1.880740e-03	9.309080e-06	1	false	DICPCG	2.772810e-02	8.744680e-04	3	true
0.0055        	smoothSolver	1.105860e-03	3.286000e-06	1	1.850390e-03	9.389420e-06	1	false	DICPCG	2.451280e-02	8.937160e-04	3	true
0.0056        	smoothSolver	1.102200e-03	3.172820e-06	1	1.876280e-03	9.879520e-06	1	false	DICPCG	2.797200e-02	1.037850e-03	3	true
0.0057        	smoothSolver	1.090520e-03	3.179950e-06	1	1.818930e-03	9.531010e-06	1	false	DICPCG	2.253710e-02	8.629260e-04	3	true
0.0058        	smoothSolver	1.083100e-03	3.046890e-06	1	1.859110e-03	9.586070e-06	1	false	DICPCG	2.456310e-02	1.216040e-03	2	true
0.0059        	smoothSolver	1.077310e-03	3.037940e-06	1	1.836100e-03	9.510950e-06	1	false	DICPCG	2.529770e-02	1.087690e-03	2	true
0.006         	smoothSolver	1.070480e-03	2.979120e-06	1	1.817310e-03	9.182320e-06	1	false	DICPCG	2.334940e-02	7.654890e-04	3	true
0.0061        	smoothSolver	1.071330e-03	2.893980e-06	1	1.812410e-03	8.502660e-06	1	false	DICPCG	1.972270e-02	5.239760e-04	3	true
0.0062        	smoothSolver	1.073330e-03	2.911290e-06	1	1.914890e-03	8.417090e-06	1	false	DICPCG	3.213150e-02	1.012890e-03	3	true
0.0063        	smoothSolver	1.082870e-03	2.971180e-06	1	1.887900e-03	8.307100e-06	1	false	DICPCG	2.127380e-02	8.952770e-04	3	true
