# Region type : patch outlet
# Faces       : 52
# Area        : 1.000000e-03
# Scale factor: 1.000000e+00
# Time        	areaAverage(U)
0.01          	(2.000027e+00 2.678150e-05 1.194865e-24)
0.02          	(2.000027e+00 -1.704958e-04 7.112892e-25)
0.03          	(2.000013e+00 -9.178998e-05 3.137518e-25)
0.04          	(1.999994e+00 -1.264866e-05 7.381899e-26)
0.05          	(1.999973e+00 1.081244e-04 -6.468856e-26)
0.06          	(1.999954e+00 1.947657e-04 -1.468884e-25)
0.07          	(1.999936e+00 3.786612e-04 -2.104119e-25)
0.08          	(1.999918e+00 8.884758e-04 -2.211396e-25)
0.09          	(1.999903e+00 2.022201e-03 -2.721323e-25)
0.1           	(1.999882e+00 4.245562e-03 -3.631052e-25)
0.11          	(1.999869e+00 8.657464e-03 -7.768665e-25)
0.12          	(1.999869e+00 1.665549e-02 -9.890711e-25)
0.13          	(1.999885e+00 3.032714e-02 -1.357092e-24)
0.14          	(1.999841e+00 5.829325e-02 -2.499653e-24)
0.15          	(1.999543e+00 1.140833e-01 -1.454326e-23)
0.16          	(2.000809e+00 -3.891342e-02 2.848162e-23)
0.17          	(1.996719e+00 -3.647545e-01 1.727117e-23)
0.18          	(2.004305e+00 -6.541278e-01 2.604525e-23)
0.19          	(2.000984e+00 2.039784e-01 -2.284087e-25)
0.2           	(1.996720e+00 6.576571e-01 2.806627e-23)
0.21          	(2.003272e+00 6.503699e-01 3.268226e-23)
0.22          	(2.001488e+00 -2.851353e-01 2.826762e-23)
0.23          	(1.999740e+00 -7.063564e-01 2.436201e-23)
0.24          	(1.997970e+00 -6.534338e-01 1.668176e-23)
0.25          	(2.002380e+00 -4.743325e-02 2.285082e-23)
0.26          	(1.998750e+00 5.877813e-01 -1.386468e-23)
0.27          	(2.002646e+00 6.035894e-01 5.196324e-23)
0.28          	(2.000033e+00 1.245780e-05 1.638848e-23)
0.29          	(1.998992e+00 -5.219793e-01 9.173102e-24)
0.3           	(1.998491e+00 -6.522984e-01 1.766255e-23)
0.31          	(2.003092e+00 -8.826436e-02 2.213666e-23)
0.32          	(1.999359e+00 5.372600e-01 -1.373691e-23)
0.33          	(2.002315e+00 6.202688e-01 4.986416e-23)
0.34          	(2.000485e+00 7.668420e-02 1.607454e-23)
0.35          	(1.999816e+00 -4.869404e-01 5.800043e-24)
0.36          	(1.997887e+00 -6.546234e-01 1.166372e-23)
0.37          	(2.002282e+00 -2.065042e-01 2.524509e-23)
0.38          	(1.999490e+00 4.716307e-01 -9.622456e-24)
0.39          	(1.997990e+00 6.219559e-01 3.582371e-23)
0.4           	(2.001372e+00 2.444443e-01 2.688964e-23)
0.41          	(1.999074e+00 -4.048923e-01 8.018955e-24)
0.42          	(1.996794e+00 -6.559679e-01 8.345881e-24)
0.43          	(2.003741e+00 -4.112789e-01 2.907404e-23)
0.44          	(2.000429e+00 3.204030e-01 6.962401e-25)
0.45          	(1.997130e+00 5.799791e-01 5.440211e-24)
0.46          	(2.002787e+00 4.733600e-01 4.292341e-23)
0.47          	(1.999620e+00 -2.760703e-01 1.196549e-23)
0.48          	(1.997619e+00 -5.991736e-01 1.107744e-23)
0.49          	(2.003282e+00 -6.225478e-01 2.406270e-23)
0.5           	(2.001264e+00 5.290675e-02 1.263252e-23)
0.51          	(1.998230e+00 5.663297e-01 -1.487948e-23)
0.52          	(2.002944e+00 6.586174e-01 5.790937e-23)
0.53          	(1.999552e+00 -3.345920e-02 1.477904e-23)
0.54          	(1.999266e+00 -5.301141e-01 1.409936e-23)
0.55          	(1.997353e+00 -6.757455e-01 9.970403e-24)
0.56          	(2.002860e+00 -2.210199e-01 2.345821e-23)
0.57          	(1.999658e+00 4.853629e-01 -1.153110e-23)
0.58          	(1.997968e+00 6.427025e-01 3.791080e-23)
0.59          	(2.000685e+00 2.737811e-01 2.635126e-23)
0.6           	(2.000158e+00 -4.117263e-01 1.406698e-23)
0.61          	(1.997276e+00 -6.597202e-01 7.804422e-24)
0.62          	(2.004266e+00 -5.055478e-01 2.736636e-23)
0.63          	(2.000530e+00 2.424061e-01 4.568742e-24)
0.64          	(1.997427e+00 5.730448e-01 -4.765812e-24)
0.65          	(2.002787e+00 5.648337e-01 4.808757e-23)
0.66          	(2.000044e+00 -1.970619e-01 1.358441e-23)
0.67          	(1.998003e+00 -5.710249e-01 1.262785e-23)
0.68          	(2.000156e+00 -6.479004e-01 1.772933e-23)
0.69          	(2.001898e+00 -6.670178e-02 1.711782e-23)
0.7           	(1.998726e+00 5.380166e-01 -1.530968e-23)
0.71          	(2.002294e+00 6.649888e-01 5.409832e-23)
0.72          	(2.000581e+00 1.031610e-01 1.707227e-23)
0.73          	(1.999959e+00 -4.828314e-01 1.478577e-23)
0.74          	(1.997432e+00 -6.812972e-01 7.057946e-24)
0.75          	(2.003223e+00 -3.548468e-01 2.659051e-23)
0.76          	(1.999811e+00 3.877570e-01 -4.269745e-24)
0.77          	(1.996592e+00 6.014386e-01 1.432247e-23)
0.78          	(2.002105e+00 4.161252e-01 3.687193e-23)
0.79          	(1.999715e+00 -3.249266e-01 1.324330e-23)
0.8           	(1.997491e+00 -6.257215e-01 9.200460e-24)
0.81          	(2.003838e+00 -5.953823e-01 2.448044e-23)
0.82          	(2.001184e+00 9.849156e-02 1.039893e-23)
0.83          	(1.997610e+00 5.657563e-01 -1.333643e-23)
0.84          	(2.003002e+00 6.493556e-01 5.600654e-23)
0.85          	(1.999822e+00 -7.685825e-02 1.472593e-23)
0.86          	(1.999200e+00 -5.466508e-01 1.354498e-23)
0.87          	(1.997547e+00 -6.672469e-01 9.956074e-24)
0.88          	(2.002648e+00 -1.817887e-01 2.233975e-23)
0.89          	(1.999219e+00 4.949511e-01 -1.169711e-23)
0.9           	(1.998646e+00 6.448804e-01 4.107458e-23)
0.91          	(2.001105e+00 2.361581e-01 2.423388e-23)
0.92          	(1.999888e+00 -4.239519e-01 1.350491e-23)
0.93          	(1.997147e+00 -6.652008e-01 7.491042e-24)
0.94          	(2.004352e+00 -4.674261e-01 2.767784e-23)
0.95          	(2.000549e+00 2.853865e-01 1.141431e-24)
0.96          	(1.997252e+00 5.775252e-01 6.999464e-25)
0.97          	(2.002775e+00 5.302166e-01 4.573447e-23)
0.98          	(1.999654e+00 -2.399604e-01 1.349006e-23)
0.99          	(1.997835e+00 -5.919723e-01 1.213923e-23)
1             	(2.001616e+00 -6.421148e-01 1.942110e-23)
1.01          	(2.001424e+00 -2.062652e-02 1.467001e-23)
1.02          	(1.998376e+00 5.554683e-01 -1.592826e-23)
1.03          	(2.002936e+00 6.680668e-01 5.649716e-23)
1.04          	(2.000186e+00 3.999303e-02 1.606733e-23)
1.05          	(1.999376e+00 -5.003518e-01 1.416316e-23)
1.06          	(1.997233e+00 -6.755261e-01 8.886550e-24)
1.07          	(2.003188e+00 -3.026512e-01 2.506085e-23)
1.08          	(2.000215e+00 4.311729e-01 -6.734154e-24)
1.09          	(1.996560e+00 6.178434e-01 2.450209e-23)
1.1           	(2.001461e+00 3.553741e-01 3.216476e-23)
1.11          	(1.999977e+00 -3.650384e-01 1.412434e-23)
1.12          	(1.997406e+00 -6.404692e-01 8.246598e-24)
1.13          	(2.004373e+00 -5.680323e-01 2.561270e-23)
1.14          	(2.000730e+00 1.467151e-01 8.603531e-24)
1.15          	(1.997724e+00 5.716189e-01 -1.124943e-23)
1.16          	(2.003091e+00 6.133023e-01 5.332450e-23)
1.17          	(1.999885e+00 -1.286075e-01 1.378716e-23)
1.18          	(1.998470e+00 -5.500123e-01 1.288133e-23)
1.19          	(1.998414e+00 -6.568959e-01 1.351126e-23)
1.2           	(2.001877e+00 -1.320247e-01 2.060353e-23)
1.21          	(1.999705e+00 5.252959e-01 -1.439015e-23)
1.22          	(2.000584e+00 6.563093e-01 4.644339e-23)
1.23          	(2.000751e+00 1.861410e-01 2.097826e-23)
1.24          	(2.000062e+00 -4.536199e-01 1.350491e-23)
1.25          	(1.997414e+00 -6.659089e-01 7.363869e-24)
1.26          	(2.003821e+00 -4.278947e-01 2.805275e-23)
1.27          	(2.000214e+00 3.278818e-01 -1.145971e-24)
1.28          	(1.997039e+00 5.921827e-01 6.914385e-24)
1.29          	(2.001811e+00 4.741961e-01 4.123575e-23)
1.3           	(1.999973e+00 -2.792399e-01 1.333390e-23)
1.31          	(1.997875e+00 -6.082045e-01 1.107067e-23)
1.32          	(2.002897e+00 -6.227164e-01 2.100437e-23)
1.33          	(2.001220e+00 2.920840e-02 1.308415e-23)
1.34          	(1.998054e+00 5.616072e-01 -1.647158e-23)
1.35          	(2.003069e+00 6.596062e-01 5.726488e-23)
1.36          	(1.999937e+00 -1.437181e-02 1.526538e-23)
1.37          	(1.999283e+00 -5.217681e-01 1.400904e-23)
1.38          	(1.997175e+00 -6.714625e-01 8.689452e-24)
1.39          	(2.002874e+00 -2.425417e-01 2.351778e-23)
1.4           	(1.999845e+00 4.662396e-01 -1.091277e-23)
1.41          	(1.997220e+00 6.335375e-01 3.261319e-23)
1.42          	(2.001618e+00 3.017653e-01 2.914005e-23)
1.43          	(2.000197e+00 -3.972493e-01 1.445006e-23)
1.44          	(1.997493e+00 -6.580456e-01 7.868474e-24)
1.45          	(2.004203e+00 -5.229161e-01 2.667206e-23)
1.46          	(2.000594e+00 2.069237e-01 5.318868e-24)
1.47          	(1.997512e+00 5.783522e-01 -5.324164e-24)
1.48          	(2.003043e+00 5.788460e-01 5.007759e-23)
1.49          	(1.999904e+00 -1.881790e-01 1.354415e-23)
1.5           	(1.998140e+00 -5.729064e-01 1.208348e-23)
1.51          	(1.999945e+00 -6.430379e-01 1.589161e-23)
1.52          	(2.002223e+00 -7.103890e-02 1.793319e-23)
1.53          	(1.998944e+00 5.398530e-01 -1.471406e-23)
1.54          	(2.002258e+00 6.676406e-01 5.402117e-23)
1.55          	(2.000453e+00 1.175724e-01 1.730402e-23)
1.56          	(1.999946e+00 -4.867533e-01 1.485877e-23)
1.57          	(1.997156e+00 -6.796933e-01 7.091752e-24)
1.58          	(2.003330e+00 -3.616372e-01 2.645482e-23)
1.59          	(2.000463e+00 3.908486e-01 -3.615096e-24)
1.6           	(1.996636e+00 6.036899e-01 1.423434e-23)
1.61          	(2.001292e+00 4.158547e-01 3.670136e-23)
1.62          	(1.999830e+00 -3.265341e-01 1.328947e-23)
