# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
0.01          	U             	(8.620523e-01 -1.243807e+00 -8.256924e-19)	(1.540125e-01 5.782569e-02 -1.025000e-02)	0	(2.787107e+00 2.080580e+00 6.638922e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.01          	p             	-1.016417e+01	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	2.922481e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.02          	U             	(-2.000165e+00 -1.823295e+00 -2.392765e-17)	(1.463412e-01 2.656787e-02 -1.025000e-02)	0	(2.738986e+00 2.150040e+00 6.066304e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.02          	p             	-9.177645e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	3.375002e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.03          	U             	(-1.494827e+00 -1.151043e+00 -1.334591e-17)	(1.463412e-01 2.656787e-02 -1.025000e-02)	0	(2.782468e+00 2.133657e+00 5.231546e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.03          	p             	-8.346750e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	3.805566e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.04          	U             	(-3.761777e-01 -1.217600e+00 -2.146944e-18)	(1.545317e-01 3.647166e-02 -1.025000e-02)	0	(2.904532e+00 2.157179e+00 5.279360e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.04          	p             	-8.234849e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.012327e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.05          	U             	(4.931603e-01 -9.541710e-01 -1.930041e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.901359e+00 2.181470e+00 5.916122e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.05          	p             	-8.478684e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	3.968027e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.06          	U             	(5.044950e-01 -8.824290e-01 -1.897035e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.918952e+00 2.247723e+00 6.201290e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.06          	p             	-8.607120e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	3.791854e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.07          	U             	(5.080382e-01 -9.503936e-01 -1.815190e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.937222e+00 2.195799e+00 6.087718e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.07          	p             	-8.212809e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	3.776537e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.08          	U             	(5.441948e-01 -1.024715e+00 -1.713399e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.836215e+00 2.131832e+00 4.697931e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.08          	p             	-8.003176e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	3.785973e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.09          	U             	(-2.650384e-01 -9.398844e-01 -3.551413e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.764011e+00 2.058855e+00 3.373667e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.09          	p             	-9.038450e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	3.874098e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.1           	U             	(-2.459786e-01 -1.338532e+00 -3.692575e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.693052e+00 1.994771e+00 3.056968e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.1           	p             	-8.878940e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.010447e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.11          	U             	(-1.204759e-01 -1.263524e+00 -2.832355e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.741166e+00 2.073706e+00 4.495550e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.11          	p             	-7.661708e+00	(1.262486e-01 2.236338e-02 -1.025000e-02)	0	3.997586e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.12          	U             	(-1.617262e+00 -5.775475e-01 -3.943139e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.866166e+00 2.193263e+00 6.426518e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.12          	p             	-9.012878e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	3.877705e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.13          	U             	(4.824434e-01 -8.577245e-01 -1.919770e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(4.438755e+00 1.632031e+00 5.418251e-18)	(1.243086e-01 6.913237e-02 -1.025000e-02)	0
0.13          	p             	-9.100550e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	3.790474e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.14          	U             	(4.873866e-01 -8.786261e-01 -1.851583e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.967556e+00 2.241940e+00 6.047915e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.14          	p             	-8.276442e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	3.822082e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.15          	U             	(5.476790e-01 -1.068721e+00 -1.735202e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.870307e+00 2.118966e+00 4.036742e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.15          	p             	-8.503985e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	3.843862e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.16          	U             	(-1.482328e+00 -6.726315e-01 -5.986166e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.764912e+00 2.055610e+00 3.034805e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.16          	p             	-8.642596e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.105962e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.17          	U             	(-1.483594e-01 -8.373380e-01 -2.531697e-18)	(1.563438e-01 4.010922e-02 -1.025000e-02)	0	(2.774981e+00 2.074183e+00 3.395289e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.17          	p             	-7.358161e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.406648e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.18          	U             	(-1.630749e+00 -5.916493e-01 -3.456304e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.930575e+00 2.183523e+00 3.981639e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.18          	p             	-7.962345e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.763032e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.19          	U             	(4.845723e-01 -8.596768e-01 -2.130458e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(3.006557e+00 2.227685e+00 5.920570e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.19          	p             	-8.606704e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.193956e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.2           	U             	(5.102017e-01 -9.168585e-01 -2.009999e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.947863e+00 2.234150e+00 4.940531e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.2           	p             	-7.976627e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.099497e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.21          	U             	(5.675885e-01 -1.003894e+00 -2.009066e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.829476e+00 2.146431e+00 2.959525e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.21          	p             	-8.005373e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.296446e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.22          	U             	(-1.501262e+00 -6.961574e-01 -6.096803e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.746142e+00 2.065342e+00 2.748195e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.22          	p             	-8.732226e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.192934e+00	(1.077870e-01 4.685603e-02 -1.025000e-02)	0
0.23          	U             	(-1.452307e+00 -5.397773e-01 -5.212399e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.745077e+00 2.079851e+00 4.217668e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.23          	p             	-7.955440e+00	(1.282427e-01 2.198245e-02 -1.025000e-02)	0	4.018982e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.24          	U             	(-1.628590e+00 -5.901162e-01 -3.573978e-18)	(1.426225e-01 2.380318e-02 -1.025000e-02)	0	(2.868212e+00 2.157459e+00 4.629898e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.24          	p             	-8.209371e+00	(1.262484e-01 6.923745e-02 -1.025000e-02)	0	4.529913e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.25          	U             	(5.200815e-01 -8.594538e-01 -2.406287e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.945443e+00 2.236086e+00 4.901581e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.25          	p             	-8.610622e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.598148e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
0.26          	U             	(4.922195e-01 -8.535305e-01 -1.956631e-19)	(1.070155e-01 3.842936e-02 -1.025000e-02)	0	(2.956777e+00 2.269736e+00 5.587157e-20)	(1.152895e-01 6.635102e-02 -1.025000e-02)	0
0.26          	p             	-8.058138e+00	(1.282426e-01 6.961841e-02 -1.025000e-02)	0	4.010683e+00	(1.077873e-01 4.473816e-02 -1.025000e-02)	0
