# Solver information
# Time        	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.0001        	DICPCG	1.000000e+00	4.625690e-02	110	true
0.0002        	DICPCG	5.012700e-03	2.297900e-04	109	true
0.0003        	DICPCG	4.245050e-01	2.040620e-02	2	true
0.0004        	DICPCG	2.082780e-01	9.041100e-03	4	true
0.0005        	DICPCG	1.321950e-01	5.079660e-03	4	true
0.0006        	DICPCG	1.144840e-01	5.684150e-03	3	true
0.0007        	DICPCG	9.288410e-02	3.894050e-03	4	true
0.0008        	DICPCG	7.672440e-02	2.924300e-03	4	true
0.0009        	DICPCG	6.928640e-02	2.233090e-03	4	true
0.001         	DICPCG	5.844190e-02	2.856620e-03	3	true
0.0011        	DICPCG	5.258080e-02	2.553840e-03	3	true
0.0012        	DICPCG	5.029120e-02	2.420940e-03	3	true
0.0013        	DICPCG	4.415360e-02	1.980640e-03	3	true
0.0014        	DICPCG	3.880050e-02	1.476940e-03	4	true
0.0015        	DICPCG	4.153670e-02	2.028300e-03	3	true
0.0016        	DICPCG	3.915810e-02	1.408040e-03	3	true
0.0017        	DICPCG	4.008280e-02	1.423300e-03	3	true
0.0018        	DICPCG	3.559720e-02	1.006400e-03	3	true
0.0019        	DICPCG	3.469200e-02	1.177770e-03	3	true
0.002         	DICPCG	3.470620e-02	1.250490e-03	3	true
0.0021        	DICPCG	3.120890e-02	9.284450e-04	3	true
0.0022        	DICPCG	3.597330e-02	1.189380e-03	3	true
0.0023        	DICPCG	3.422050e-02	1.139260e-03	3	true
0.0024        	DICPCG	3.491830e-02	1.363250e-03	3	true
0.0025        	DICPCG	2.875230e-02	8.845840e-04	3	true
0.0026        	DICPCG	3.083560e-02	1.379590e-03	2	true
0.0027        	DICPCG	2.706390e-02	6.905290e-04	3	true
0.0028        	DICPCG	2.736020e-02	1.311040e-03	2	true
0.0029        	DICPCG	2.847860e-02	9.002770e-04	3	true
0.003         	DICPCG	3.207190e-02	9.300630e-04	3	true
0.0031        	DICPCG	2.583870e-02	6.914140e-04	3	true
0.0032        	DICPCG	3.892630e-02	1.387470e-03	3	true
0.0033        	DICPCG	2.995140e-02	8.075240e-04	3	true
0.0034        	DICPCG	2.768580e-02	7.968850e-04	3	true
0.0035        	DICPCG	3.365310e-02	1.538920e-03	2	true
0.0036        	DICPCG	3.807080e-02	1.846840e-03	2	true
0.0037        	DICPCG	3.354260e-02	1.666660e-03	2	true
0.0038        	DICPCG	3.251320e-02	1.583130e-03	2	true
0.0039        	DICPCG	3.300930e-02	1.277070e-03	3	true
0.004         	DICPCG	3.380670e-02	1.190240e-03	3	true
0.0041        	DICPCG	2.668670e-02	7.446420e-04	3	true
0.0042        	DICPCG	2.747010e-02	7.611110e-04	3	true
0.0043        	DICPCG	2.567240e-02	7.659930e-04	3	true
0.0044        	DICPCG	3.952330e-02	1.282840e-03	3	true
0.0045        	DICPCG	3.039090e-02	1.395050e-03	2	true
0.0046        	DICPCG	2.751980e-02	6.116280e-04	3	true
0.0047        	DICPCG	3.527000e-02	9.404570e-04	3	true
0.0048        	DICPCG	3.253300e-02	9.893940e-04	3	true
0.0049        	DICPCG	3.070410e-02	1.196900e-03	2	true
0.005         	DICPCG	3.029470e-02	1.409830e-03	2	true
0.0051        	DICPCG	3.133600e-02	1.330840e-03	2	true
0.0052        	DICPCG	3.509410e-02	9.801450e-04	3	true
0.0053        	DICPCG	3.050240e-02	1.002290e-03	3	true
0.0054        	DICPCG	2.772810e-02	8.744680e-04	3	true
0.0055        	DICPCG	2.451280e-02	8.937160e-04	3	true
0.0056        	DICPCG	2.797200e-02	1.037850e-03	3	true
0.0057        	DICPCG	2.253710e-02	8.629260e-04	3	true
0.0058        	DICPCG	2.456310e-02	1.216040e-03	2	true
0.0059        	DICPCG	2.529770e-02	1.087690e-03	2	true
0.006         	DICPCG	2.334940e-02	7.654890e-04	3	true
0.0061        	DICPCG	1.972270e-02	5.239760e-04	3	true
0.0062        	DICPCG	3.213150e-02	1.012890e-03	3	true
0.0063        	DICPCG	2.127380e-02	8.952770e-04	3	true
0.0064        	DICPCG	2.573490e-02	8.920730e-04	3	true
0.0065        	DICPCG	2.615940e-02	9.195690e-04	3	true
0.0066        	DICPCG	2.353370e-02	1.037270e-03	2	true
0.0067        	DICPCG	2.447030e-02	9.662960e-04	3	true
0.0068        	DICPCG	2.778870e-02	1.361660e-03	2	true
0.0069        	DICPCG	2.698840e-02	1.033200e-03	3	true
0.007         	DICPCG	2.189090e-02	6.453720e-04	3	true
0.0071        	DICPCG	2.524800e-02	6.924760e-04	3	true
0.0072        	DICPCG	2.146490e-02	1.034940e-03	2	true
0.0073        	DICPCG	2.005350e-02	5.918020e-04	3	true
0.0074        	DICPCG	2.633430e-02	7.651480e-04	3	true
0.0075        	DICPCG	2.617120e-02	1.052330e-03	3	true
0.0076        	DICPCG	2.490850e-02	9.210080e-04	3	true
0.0077        	DICPCG	2.681630e-02	8.722930e-04	3	true
0.0078        	DICPCG	2.473490e-02	9.067790e-04	3	true
0.0079        	DICPCG	2.995900e-02	1.286400e-03	3	true
0.008         	DICPCG	2.130700e-02	7.661010e-04	3	true
0.0081        	DICPCG	2.626090e-02	9.213580e-04	3	true
0.0082        	DICPCG	3.230540e-02	8.438270e-04	3	true
0.0083        	DICPCG	2.661910e-02	1.184540e-03	2	true
0.0084        	DICPCG	2.434420e-02	1.056580e-03	2	true
0.0085        	DICPCG	2.639230e-02	1.002450e-03	3	true
0.0086        	DICPCG	1.670650e-02	5.944090e-04	3	true
0.0087        	DICPCG	1.862280e-02	8.388510e-04	3	true
0.0088        	DICPCG	1.884270e-02	7.349410e-04	3	true
0.0089        	DICPCG	2.281830e-02	7.490810e-04	3	true
0.009         	DICPCG	2.048840e-02	6.698250e-04	3	true
0.0091        	DICPCG	2.315490e-02	1.130670e-03	2	true
0.0092        	DICPCG	1.815460e-02	6.200380e-04	3	true
0.0093        	DICPCG	1.882930e-02	7.327930e-04	3	true
0.0094        	DICPCG	2.148870e-02	8.465840e-04	3	true
0.0095        	DICPCG	2.004040e-02	6.598400e-04	3	true
0.0096        	DICPCG	1.957160e-02	8.362040e-04	3	true
0.0097        	DICPCG	1.889890e-02	6.904340e-04	3	true
0.0098        	DICPCG	1.434290e-02	5.568790e-04	4	true
0.0099        	DICPCG	2.064100e-02	6.849370e-04	3	true
0.01          	DICPCG	2.084630e-02	7.190390e-04	3	true
0.0101        	DICPCG	1.971390e-02	6.291170e-04	3	true
0.0102        	DICPCG	2.016680e-02	7.595190e-04	3	true
0.0103        	DICPCG	3.142330e-02	8.999970e-04	3	true
0.0104        	DICPCG	2.344490e-02	5.819950e-04	3	true
0.0105        	DICPCG	2.260560e-02	7.812090e-04	3	true
0.0106        	DICPCG	1.936420e-02	6.740380e-04	3	true
0.0107        	DICPCG	1.929220e-02	8.039810e-04	3	true
0.0108        	DICPCG	2.224780e-02	9.508130e-04	3	true
0.0109        	DICPCG	2.387770e-02	1.081000e-03	2	true
0.011         	DICPCG	2.904810e-02	1.422610e-03	2	true
0.0111        	DICPCG	2.836770e-02	8.172120e-04	3	true
0.0112        	DICPCG	2.400280e-02	8.961410e-04	3	true
0.0113        	DICPCG	2.872740e-02	1.035880e-03	3	true
0.0114        	DICPCG	2.321730e-02	6.669760e-04	3	true
0.0115        	DICPCG	2.578480e-02	1.018660e-03	3	true
0.0116        	DICPCG	1.883170e-02	7.204670e-04	4	true
0.0117        	DICPCG	2.427100e-02	8.181740e-04	3	true
0.0118        	DICPCG	2.053660e-02	8.556480e-04	3	true
0.0119        	DICPCG	2.505480e-02	9.293450e-04	3	true
0.012         	DICPCG	2.198090e-02	9.093770e-04	3	true
0.0121        	DICPCG	2.428560e-02	1.202850e-03	2	true
0.0122        	DICPCG	2.106060e-02	8.383420e-04	3	true
0.0123        	DICPCG	2.027470e-02	7.896000e-04	3	true
0.0124        	DICPCG	2.786500e-02	9.202690e-04	3	true
0.0125        	DICPCG	2.734320e-02	1.032150e-03	3	true
0.0126        	DICPCG	3.973480e-02	1.172670e-03	3	true
0.0127        	DICPCG	2.732280e-02	9.783620e-04	3	true
0.0128        	DICPCG	1.684490e-02	7.028590e-04	3	true
0.0129        	DICPCG	2.979040e-02	8.538700e-04	3	true
0.013         	DICPCG	2.276930e-02	8.097540e-04	3	true
0.0131        	DICPCG	2.545280e-02	1.016140e-03	3	true
0.0132        	DICPCG	2.704840e-02	1.027570e-03	3	true
0.0133        	DICPCG	2.478560e-02	7.990340e-04	3	true
0.0134        	DICPCG	1.992440e-02	8.922100e-04	3	true
0.0135        	DICPCG	2.170480e-02	8.676170e-04	3	true
0.0136        	DICPCG	2.198940e-02	9.388260e-04	3	true
0.0137        	DICPCG	2.288060e-02	8.972940e-04	3	true
0.0138        	DICPCG	2.183360e-02	7.840880e-04	4	true
0.0139        	DICPCG	2.155240e-02	1.030850e-03	3	true
0.014         	DICPCG	1.849500e-02	6.562850e-04	3	true
0.0141        	DICPCG	2.403950e-02	1.035070e-03	3	true
0.0142        	DICPCG	2.185780e-02	9.988100e-04	3	true
0.0143        	DICPCG	2.280110e-02	8.503310e-04	3	true
0.0144        	DICPCG	2.319600e-02	1.158780e-03	3	true
0.0145        	DICPCG	2.938060e-02	1.104190e-03	3	true
0.0146        	DICPCG	2.922330e-02	1.334530e-03	3	true
0.0147        	DICPCG	2.230860e-02	9.506230e-04	3	true
0.0148        	DICPCG	2.194580e-02	9.077380e-04	3	true
0.0149        	DICPCG	1.870220e-02	6.452530e-04	4	true
0.015         	DICPCG	2.054320e-02	9.721510e-04	3	true
0.0151        	DICPCG	2.092490e-02	9.558710e-04	3	true
0.0152        	DICPCG	2.302130e-02	1.042560e-03	3	true
0.0153        	DICPCG	2.469310e-02	7.136300e-04	4	true
0.0154        	DICPCG	2.229620e-02	9.832240e-04	3	true
0.0155        	DICPCG	2.268550e-02	7.296040e-04	4	true
0.0156        	DICPCG	2.326510e-02	1.078850e-03	3	true
